
time,qw,qx,qy,qz,roll,pitch,yaw,hfbx,hfby,hfbz,ax,ay,az,hgx,hgy,hgz
0.814481,0.082977,-0.996324,0.024551,0.009720,-170.512466,1.343289,-2.712378,-0.007758,-0.001292,0.000391,-0.024963,-0.151382,-0.996231,-0.011046,-0.082758,-0.492981
0.824508,0.082550,-0.996339,0.025024,0.010574,-170.564377,1.444167,-2.759002,-0.011208,-0.004588,0.001034,-0.032715,-0.142197,-0.985947,-0.011721,-0.082434,-0.493020
0.834536,0.082107,-0.996356,0.025390,0.011520,-170.618317,1.554392,-2.792653,-0.012015,-0.007684,0.001585,-0.040222,-0.137924,-0.973740,-0.012601,-0.081983,-0.493074
0.844563,0.081619,-0.996378,0.025665,0.012375,-170.676971,1.653185,-2.816925,-0.012627,-0.009112,0.001853,-0.044434,-0.134171,-0.962296,-0.013563,-0.081515,-0.493126
0.854590,0.081177,-0.996406,0.025910,0.012558,-170.728592,1.675132,-2.843913,-0.011352,-0.003968,0.000984,-0.035782,-0.134979,-0.957336,-0.014425,-0.081006,-0.493185
0.864617,0.080947,-0.996422,0.026214,0.012161,-170.754501,1.631961,-2.882777,-0.008570,0.000677,0.000143,-0.027039,-0.139542,-0.957306,-0.014616,-0.080560,-0.493253
0.874644,0.080582,-0.996450,0.026581,0.011414,-170.795059,1.548901,-2.932096,-0.011544,0.005081,-0.000494,-0.017853,-0.134598,-0.966690,-0.014240,-0.080339,-0.493300
0.884671,0.080169,-0.996482,0.027023,0.010528,-170.840775,1.450637,-2.991315,-0.015673,0.008560,-0.000959,-0.009796,-0.128769,-0.989761,-0.013515,-0.079993,-0.493376
0.894699,0.079834,-0.996503,0.027527,0.009689,-170.877625,1.358380,-3.056973,-0.017781,0.008508,-0.000916,-0.008362,-0.126205,-1.009521,-0.012658,-0.079602,-0.493462
0.904726,0.079636,-0.996506,0.028030,0.009583,-170.900757,1.350158,-3.115777,-0.019016,0.002291,0.000089,-0.019547,-0.123138,-1.010590,-0.011853,-0.079288,-0.493533
0.914753,0.079543,-0.996494,0.028518,0.010116,-170.913620,1.415285,-3.166871,-0.018932,-0.002288,0.000818,-0.028625,-0.121964,-1.003021,-0.011781,-0.079089,-0.493566
0.924780,0.079346,-0.996494,0.028931,0.010468,-170.937897,1.458497,-3.211144,-0.018366,0.001856,0.000162,-0.021088,-0.121689,-0.993240,-0.012349,-0.078976,-0.493571
0.934807,0.078980,-0.996510,0.029251,0.010880,-170.981689,1.507264,-3.244632,-0.016475,0.000801,0.000297,-0.023483,-0.122467,-0.972488,-0.012726,-0.078765,-0.493595
0.944834,0.078415,-0.996540,0.029450,0.011627,-171.049103,1.592604,-3.261535,-0.013925,-0.005353,0.001221,-0.035782,-0.124084,-0.952072,-0.013152,-0.078386,-0.493644
0.954862,0.077712,-0.996586,0.029449,0.012375,-171.132141,1.675688,-3.256046,-0.011421,-0.008257,0.001623,-0.042496,-0.126663,-0.943649,-0.013896,-0.077801,-0.493716
0.964889,0.076889,-0.996647,0.029236,0.013046,-171.228302,1.747851,-3.227218,-0.009455,-0.009348,0.001739,-0.046219,-0.129700,-0.948410,-0.014621,-0.077082,-0.493808
0.974916,0.075989,-0.996716,0.028915,0.013779,-171.333389,1.825824,-3.185847,-0.008453,-0.010332,0.001856,-0.050034,-0.131866,-0.961929,-0.015251,-0.076250,-0.493918
0.984943,0.074967,-0.996804,0.028504,0.013901,-171.450348,1.833006,-3.139594,-0.007969,-0.002136,0.000583,-0.035431,-0.131821,-0.967743,-0.015931,-0.075341,-0.494036
0.994970,0.074020,-0.996885,0.028122,0.013901,-171.558411,1.826787,-3.097668,-0.006088,0.000110,0.000180,-0.031067,-0.133377,-0.966690,-0.015993,-0.074331,-0.494187
1.004997,0.073242,-0.996952,0.027725,0.014038,-171.647415,1.836761,-3.052592,-0.003776,-0.001932,0.000409,-0.035156,-0.136734,-0.971359,-0.015939,-0.073399,-0.494328
1.015025,0.072616,-0.997006,0.027328,0.014221,-171.719116,1.852473,-3.006840,-0.003181,-0.002891,0.000528,-0.037201,-0.136292,-0.970779,-0.016026,-0.072630,-0.494438
1.025052,0.072220,-0.997043,0.026917,0.014435,-171.764450,1.872311,-2.958725,-0.001588,-0.004369,0.000688,-0.040543,-0.138702,-0.974243,-0.016163,-0.072010,-0.494525
1.035079,0.072067,-0.997062,0.026535,0.014618,-171.781860,1.889627,-2.913852,0.000333,-0.004346,0.000618,-0.040756,-0.141464,-0.972351,-0.016336,-0.071618,-0.494576
1.045106,0.072281,-0.997056,0.026138,0.014633,-171.756531,1.888746,-2.867966,0.004340,-0.002561,0.000225,-0.037628,-0.149612,-0.975449,-0.016487,-0.071467,-0.494593
1.055133,0.072830,-0.997023,0.025787,0.014801,-171.693222,1.906586,-2.825394,0.007233,-0.003793,0.000309,-0.040192,-0.156265,-0.978073,-0.016479,-0.071686,-0.494561
1.065161,0.073533,-0.996978,0.025544,0.014725,-171.611801,1.897841,-2.796803,0.008426,-0.002377,0.000064,-0.037689,-0.159851,-0.978561,-0.016635,-0.072232,-0.494477
1.075188,0.074372,-0.996926,0.025406,0.014282,-171.514069,1.848448,-2.783198,0.009931,0.000708,-0.000437,-0.031311,-0.164078,-0.977203,-0.016559,-0.072935,-0.494376
1.085215,0.075241,-0.996870,0.025375,0.013718,-171.412766,1.786079,-2.782867,0.010542,-0.000552,-0.000261,-0.032913,-0.166611,-0.974793,-0.016128,-0.073781,-0.494265
1.095242,0.075989,-0.996826,0.025406,0.012665,-171.324234,1.668135,-2.794070,0.008628,0.002287,-0.000618,-0.026443,-0.166290,-0.985168,-0.015584,-0.074657,-0.494151
1.105269,0.076705,-0.996784,0.025451,0.011612,-171.239334,1.550234,-2.807214,0.007294,0.001803,-0.000490,-0.025833,-0.168106,-1.002838,-0.014555,-0.075426,-0.494065
